cm_id,example_id,relation,subrelation,field,context,CM,target_tags,target_tokens,all_annotations,auto_adjudication,relation_presence,sousrelations_identified,nb_subrelations_identified,subrelation_presence,comment,comment_A2,comment_adj,presence_extracted,POS_Tags,NER_Tags,Lemmas,Dependencies
M02,10,meronymie,Parties du même genre,computer_science,"en algunos puntos , adopta un enfoque distinto . En lugar de reunir las piezas multimedia en la aplicación , se almacenan en una base de datos y se elabora una aplicación","reunir las piezas multimedia en la aplicación ,","['VI----', 'AFP', 'N5-FP', 'N5-M6', 'P', 'AFS', 'N5-FS', 'Z']","['reunir', 'las', 'piezas', 'multimedia', 'en', 'la', 'aplicación', ',']","['oui', 'oui', 'oui', 'oui']",5.0,oui,['Parties du même genre'],1.0,oui,,,,faible,"[('reunir', 'VERB'), ('las', 'DET'), ('piezas', 'NOUN'), ('multimedia', 'ADJ'), ('en', 'ADP'), ('la', 'DET'), ('aplicación', 'NOUN'), (',', 'PUNCT')]",[],"[('reunir', 'reunir'), ('las', 'el'), ('piezas', 'pieza'), ('multimedia', 'multimedia'), ('en', 'en'), ('la', 'el'), ('aplicación', 'aplicación'), (',', ',')]","[('reunir', 0, 'root'), ('las', 3, 'det'), ('piezas', 1, 'obj'), ('multimedia', 3, 'amod'), ('en', 7, 'case'), ('la', 7, 'det'), ('aplicación', 1, 'obl'), (',', 1, 'punct')]"
M02,11,meronymie,Parties du même genre,medicine,"este paso se realiza con éxito , otras enzimas de el VIH unen el ADN en los cromosomas de la célula invadida , y allí el ADN integrado dirigirá la reproducción",unen el ADN en los cromosomas de,"['VDR3P-', 'AMS', 'N4666', 'P', 'AMP', 'N5-MP', 'P']","['unen', 'el', 'ADN', 'en', 'los', 'cromosomas', 'de']","['oui', 'oui', 'autre', 'oui']",4.0,oui,"['Parties du même genre', 'Parties liées par jonction']",2.0,oui+,,,processus,faible,"[('unen', 'VERB'), ('el', 'DET'), ('ADN', 'PROPN'), ('en', 'ADP'), ('los', 'DET'), ('cromosomas', 'NOUN'), ('de', 'ADP')]","[('ADN', 'MISC')]","[('unen', 'unir'), ('el', 'el'), ('ADN', 'adn'), ('en', 'en'), ('los', 'el'), ('cromosomas', 'cromosoma'), ('de', 'de')]","[('unen', 0, 'root'), ('el', 3, 'det'), ('ADN', 1, 'obj'), ('en', 6, 'case'), ('los', 6, 'det'), ('cromosomas', 1, 'obl'), ('de', 1, 'punct')]"
M02,12,meronymie,Parties du même genre,general,fortalecimiento de ambas compañías en el mercado de el gas a el unir la presencia de ENI en el norte de África y la de Repsol_YPF en América_Latina . Con la unión se habría creado,unir la presencia de ENI en el norte de África y,"['VI----', 'AFS', 'N5-FS', 'P', 'N4666', 'P', 'AMS', 'N5-MS', 'P', 'N4666', 'C']","['unir', 'la', 'presencia', 'de', 'ENI', 'en', 'el', 'norte', 'de', 'África', 'y']","['non', 'non', nan, nan]",0.0,non,['Parties du même genre'],1.0,,,,,faible,"[('unir', 'VERB'), ('la', 'DET'), ('presencia', 'NOUN'), ('de', 'ADP'), ('ENI', 'PROPN'), ('en', 'ADP'), ('el', 'DET'), ('norte', 'NOUN'), ('de', 'ADP'), ('África', 'PROPN'), ('y', 'CCONJ')]","[('ENI', 'ORG'), ('África', 'LOC')]","[('unir', 'unir'), ('la', 'el'), ('presencia', 'presencia'), ('de', 'de'), ('ENI', 'ENI'), ('en', 'en'), ('el', 'el'), ('norte', 'norte'), ('de', 'de'), ('África', 'áfrica'), ('y', 'y')]","[('unir', 0, 'root'), ('la', 3, 'det'), ('presencia', 1, 'obj'), ('de', 5, 'case'), ('ENI', 3, 'nmod'), ('en', 8, 'case'), ('el', 8, 'det'), ('norte', 1, 'obl'), ('de', 10, 'case'), ('África', 8, 'nmod'), ('y', 1, 'cc')]"
M02,13,meronymie,Parties du même genre,general,"Verdes hay amplios sectores que lo rechazan . Los diputados y senadores reunidos el lunes en el Congreso , en Versalles , aprobaron la reforma constitucional que abría la puerta a la consulta","reunidos el lunes en el Congreso , en Versalles","['VC--PM', 'AMS', 'N5-M6', 'P', 'AMS', 'N4666', 'Z', 'P', 'N4666']","['reunidos', 'el', 'lunes', 'en', 'el', 'Congreso', ',', 'en', 'Versalles']","['non', 'non', nan, nan]",0.0,non,['Parties du même genre'],1.0,,,,,faible,"[('reunidos', 'ADJ'), ('el', 'DET'), ('lunes', 'NOUN'), ('en', 'ADP'), ('el', 'DET'), ('Congreso', 'PROPN'), (',', 'PUNCT'), ('en', 'ADP'), ('Versalles', 'PROPN')]","[('Congreso', 'ORG'), ('Versalles', 'LOC')]","[('reunidos', 'reunido'), ('el', 'el'), ('lunes', 'lunes'), ('en', 'en'), ('el', 'el'), ('Congreso', 'Congreso'), (',', ','), ('en', 'en'), ('Versalles', 'versalles')]","[('reunidos', 0, 'root'), ('el', 3, 'det'), ('lunes', 1, 'obl'), ('en', 6, 'case'), ('el', 6, 'det'), ('Congreso', 1, 'obl'), (',', 9, 'punct'), ('en', 9, 'case'), ('Versalles', 1, 'obl')]"
M02,14,meronymie,Parties du même genre,general,"y de las felicitaciones de los amigos de la jet set , reunida una vez más en el principado mediterráneo . Una llamada desde Bangkok abrió una grieta de ansiedad esa",reunida una vez más en el principado,"['VC--SF', 'E6--FS', 'N5-FS', 'D', 'P', 'AMS', 'N5-MS']","['reunida', 'una', 'vez', 'más', 'en', 'el', 'principado']","['non', 'non', nan, nan]",0.0,non,['Parties du même genre'],1.0,,,,,faible,"[('reunida', 'ADJ'), ('una', 'DET'), ('vez', 'NOUN'), ('más', 'ADV'), ('en', 'ADP'), ('el', 'DET'), ('principado', 'NOUN')]",[],"[('reunida', 'reunido'), ('una', 'uno'), ('vez', 'vez'), ('más', 'más'), ('en', 'en'), ('el', 'el'), ('principado', 'principado')]","[('reunida', 0, 'root'), ('una', 3, 'det'), ('vez', 1, 'obl'), ('más', 1, 'advmod'), ('en', 7, 'case'), ('el', 7, 'det'), ('principado', 1, 'obl')]"
M03,15,meronymie,Parties du même genre,law,"El Presidente_de_la_República_Portuguesa . Su Majestad la Reina_del_Reino_Unido_de_Gran_Bretaña e Irlanda_del_Norte . Quienes , reunidos en el seno de el Consejo , después de haber intercambio sus plenos poderes , reconocidos en buena y debida forma","reunidos en el seno de el Consejo , después de","['VC--PM', 'P', 'AMS', 'N5-MS', 'P', 'AMS', 'N4666', 'Z', 'D', 'P']","['reunidos', 'en', 'el', 'seno', 'de', 'el', 'Consejo', ',', 'después', 'de']","['non', 'non', nan, nan]",0.0,non,['Parties du même genre'],1.0,,,,,moyenne-élevée,"[('reunidos', 'ADJ'), ('en', 'ADP'), ('el', 'DET'), ('seno', 'NOUN'), ('de', 'ADP'), ('el', 'DET'), ('Consejo', 'PROPN'), (',', 'PUNCT'), ('después', 'ADV'), ('de', 'ADP')]","[('Consejo', 'ORG')]","[('reunidos', 'reunido'), ('en', 'en'), ('el', 'el'), ('seno', 'seno'), ('de', 'de'), ('el', 'el'), ('Consejo', 'Consejo'), (',', ','), ('después', 'después'), ('de', 'de')]","[('reunidos', 0, 'root'), ('en', 4, 'case'), ('el', 4, 'det'), ('seno', 1, 'obl'), ('de', 7, 'case'), ('el', 7, 'det'), ('Consejo', 4, 'nmod'), (',', 9, 'punct'), ('después', 1, 'advmod'), ('de', 1, 'punct')]"
M03,16,meronymie,Parties du même genre,law,"las decisiones y acuerdos adoptados por los representantes de los Gobiernos_de_los_Estados miembros reunidos en el seno de el Consejo . Se comprometen a adherir se , desde el momento de la adhesión",reunidos en el seno de el Consejo .,"['VC--PM', 'P', 'AMS', 'N5-MS', 'P', 'AMS', 'N4666', 'Z']","['reunidos', 'en', 'el', 'seno', 'de', 'el', 'Consejo', '.']","['non', 'non', nan, nan]",0.0,non,['Parties du même genre'],1.0,,,,,moyenne-élevée,"[('reunidos', 'ADJ'), ('en', 'ADP'), ('el', 'DET'), ('seno', 'NOUN'), ('de', 'ADP'), ('el', 'DET'), ('Consejo', 'PROPN'), ('.', 'PUNCT')]","[('Consejo', 'ORG')]","[('reunidos', 'reunido'), ('en', 'en'), ('el', 'el'), ('seno', 'seno'), ('de', 'de'), ('el', 'el'), ('Consejo', 'Consejo'), ('.', '.')]","[('reunidos', 0, 'root'), ('en', 4, 'case'), ('el', 4, 'det'), ('seno', 1, 'obl'), ('de', 7, 'case'), ('el', 7, 'det'), ('Consejo', 4, 'nmod'), ('.', 1, 'punct')]"
M03,17,meronymie,Parties du même genre,computer_science,"una relación de equivalencia xxx , llamada relación de igualdad , que agrupa en una clase los valores de la implementación que se corresponden con el mismo valor de el TAD",agrupa en una clase los valores de,"['V8R6S-', 'P', 'E6--FS', 'N5-FS', 'AMP', 'N5-MP', 'P']","['agrupa', 'en', 'una', 'clase', 'los', 'valores', 'de']","['oui', 'oui', 'oui', 'oui']",5.0,oui,['Parties du même genre'],1.0,oui,,,,moyenne-élevée,"[('agrupa', 'VERB'), ('en', 'ADP'), ('una', 'DET'), ('clase', 'NOUN'), ('los', 'DET'), ('valores', 'NOUN'), ('de', 'ADP')]",[],"[('agrupa', 'agrupar'), ('en', 'en'), ('una', 'uno'), ('clase', 'clase'), ('los', 'el'), ('valores', 'valor'), ('de', 'de')]","[('agrupa', 0, 'root'), ('en', 4, 'case'), ('una', 4, 'det'), ('clase', 1, 'obl'), ('los', 6, 'det'), ('valores', 1, 'obj'), ('de', 1, 'punct')]"
M03,18,meronymie,Parties du même genre,medicine,"un papel fundamental en la activacióN . Una liberación de el calcio unido en el interior de el óvulo , provocada en los vertebrados por 1a penetración de el espermatozoide , ""","unido en el interior de el óvulo ,","['VC--SM', 'P', 'AMS', 'N5-MS', 'P', 'AMS', 'N5-MS', 'Z']","['unido', 'en', 'el', 'interior', 'de', 'el', 'óvulo', ',']","['oui', 'oui', 'oui', 'oui']",5.0,oui,['Parties du même genre'],1.0,oui,,,,moyenne-élevée,"[('unido', 'ADJ'), ('en', 'ADP'), ('el', 'DET'), ('interior', 'NOUN'), ('de', 'ADP'), ('el', 'DET'), ('óvulo', 'NOUN'), (',', 'PUNCT')]",[],"[('unido', 'unido'), ('en', 'en'), ('el', 'el'), ('interior', 'interior'), ('de', 'de'), ('el', 'el'), ('óvulo', 'óvulo'), (',', ',')]","[('unido', 0, 'root'), ('en', 4, 'case'), ('el', 4, 'det'), ('interior', 1, 'obl'), ('de', 7, 'case'), ('el', 7, 'det'), ('óvulo', 4, 'nmod'), (',', 1, 'punct')]"
M03,19,meronymie,Parties du même genre,medicine,"de no muy buena gana , accedió . Una enorme audiencia se reunió en el teatro de la sala de operaciones el día 16_de_octubre_de_1846 . Después de algunos torpes titubeos preliminares , la",reunió en el teatro de la sala de operaciones,"['VDP3S-', 'P', 'AMS', 'N5-MS', 'P', 'AFS', 'N5-FS', 'P', 'N5-FP']","['reunió', 'en', 'el', 'teatro', 'de', 'la', 'sala', 'de', 'operaciones']","['oui', 'non', 'autre', nan]",1.0,non,['Parties du même genre'],1.0,,,,il n’y a parts idéntifiés,moyenne-élevée,"[('reunió', 'VERB'), ('en', 'ADP'), ('el', 'DET'), ('teatro', 'NOUN'), ('de', 'ADP'), ('la', 'DET'), ('sala', 'NOUN'), ('de', 'ADP'), ('operaciones', 'NOUN')]",[],"[('reunió', 'reunir'), ('en', 'en'), ('el', 'el'), ('teatro', 'teatro'), ('de', 'de'), ('la', 'el'), ('sala', 'sala'), ('de', 'de'), ('operaciones', 'operación')]","[('reunió', 0, 'root'), ('en', 4, 'case'), ('el', 4, 'det'), ('teatro', 1, 'obl'), ('de', 7, 'case'), ('la', 7, 'det'), ('sala', 4, 'nmod'), ('de', 9, 'case'), ('operaciones', 7, 'nmod')]"
M03,20,meronymie,Parties du même genre,general,"a otras más experimentales , Vicenç_Pagès ( Figueres , 1963 ) ha reunido en el libro El poeta i altres contes veintiséis relatos muy diversos que dirigen una mirada tragicómica sobre la",reunido en el libro El poeta i altres,"['VC--SM', 'P', 'AMS', 'N5-MS', 'AMS', 'N5-6S', 'X', 'N5-MP']","['reunido', 'en', 'el', 'libro', 'El', 'poeta', 'i', 'altres']","['oui', 'oui', 'oui', 'oui']",5.0,oui,['Parties du même genre'],1.0,oui,,,,moyenne-élevée,"[('reunido', 'ADJ'), ('en', 'ADP'), ('el', 'DET'), ('libro', 'NOUN'), ('El', 'DET'), ('poeta', 'PROPN'), ('i', 'CCONJ'), ('altres', 'PROPN')]","[('El poeta i altres', 'MISC')]","[('reunido', 'reunir'), ('en', 'en'), ('el', 'el'), ('libro', 'libro'), ('El', 'el'), ('poeta', 'poeta'), ('i', 'i'), ('altres', 'altre')]","[('reunido', 0, 'root'), ('en', 4, 'case'), ('el', 4, 'det'), ('libro', 1, 'obl'), ('El', 6, 'det'), ('poeta', 4, 'appos'), ('i', 8, 'cc'), ('altres', 6, 'conj')]"
M03,21,meronymie,Parties du même genre,general,"dijo que se lo habían olvidado . La oposición serbia , los agrupados en la Alianza para los Cambios y el Movimiento_Serbio_de_Renovación de el veleidoso Vuk_Draskovic han lanzado ya la hipótesis de",agrupados en la Alianza para los Cambios y,"['VC--PM', 'P', 'AFS', 'N4666', 'P', 'AMP', 'N4666', 'C']","['agrupados', 'en', 'la', 'Alianza', 'para', 'los', 'Cambios', 'y']","['oui', 'oui', 'oui', 'oui']",5.0,oui,"['Parties liées par rapprochement', 'Parties du même genre']",2.0,oui+,,,,moyenne-élevée,"[('agrupados', 'ADJ'), ('en', 'ADP'), ('la', 'DET'), ('Alianza', 'PROPN'), ('para', 'ADP'), ('los', 'DET'), ('Cambios', 'PROPN'), ('y', 'CCONJ')]","[('Alianza para los Cambios', 'ORG')]","[('agrupados', 'agrupar'), ('en', 'en'), ('la', 'el'), ('Alianza', 'Alianza'), ('para', 'para'), ('los', 'el'), ('Cambios', 'Cambios'), ('y', 'y')]","[('agrupados', 0, 'root'), ('en', 4, 'case'), ('la', 4, 'det'), ('Alianza', 1, 'obl'), ('para', 7, 'case'), ('los', 7, 'det'), ('Cambios', 4, 'nmod'), ('y', 1, 'cc')]"
M03,22,meronymie,Parties du même genre,linguistics,"la medicina , a_pesar_de la condición periférica de la relación que las une en el seno de la merología y , en consecuencia , de la meronimia . La ventaja de la elección para","une en el seno de la merología y , en","['VDR3S-', 'P', 'AMS', 'N5-MS', 'P', 'AFS', 'N5-FS', 'C', 'Z', 'P']","['une', 'en', 'el', 'seno', 'de', 'la', 'merología', 'y', ',', 'en']","['oui', 'oui', 'incertaine', 'oui']",4.0,oui,['Parties du même genre'],1.0,oui,,,pronoms,moyenne-élevée,"[('une', 'VERB'), ('en', 'ADP'), ('el', 'DET'), ('seno', 'NOUN'), ('de', 'ADP'), ('la', 'DET'), ('merología', 'NOUN'), ('y', 'CCONJ'), (',', 'PUNCT'), ('en', 'ADP')]",[],"[('une', 'unir'), ('en', 'en'), ('el', 'el'), ('seno', 'seno'), ('de', 'de'), ('la', 'el'), ('merología', 'merología'), ('y', 'y'), (',', ','), ('en', 'en')]","[('une', 0, 'root'), ('en', 4, 'case'), ('el', 4, 'det'), ('seno', 1, 'obl'), ('de', 7, 'case'), ('la', 7, 'det'), ('merología', 4, 'nmod'), ('y', 10, 'cc'), (',', 10, 'punct'), ('en', 1, 'advmod')]"
M03,23,meronymie,Parties du même genre,general,"grupo de periodistas hongkoneses y europeos que en enero de 1996 , reunidos en la sede de la representación de la Comisión_Europea , en el edificio St . Johns de Garden_Road_de_Hong_Kong ,",reunidos en la sede de la representación de,"['VC--PM', 'P', 'AFS', 'N5-FS', 'P', 'AFS', 'N5-FS', 'P']","['reunidos', 'en', 'la', 'sede', 'de', 'la', 'representación', 'de']","['non', 'non', nan, nan]",0.0,non,['Parties du même genre'],1.0,,,,,moyenne-élevée,"[('reunidos', 'ADJ'), ('en', 'ADP'), ('la', 'DET'), ('sede', 'NOUN'), ('de', 'ADP'), ('la', 'DET'), ('representación', 'NOUN'), ('de', 'ADP')]",[],"[('reunidos', 'reunido'), ('en', 'en'), ('la', 'el'), ('sede', 'sede'), ('de', 'de'), ('la', 'el'), ('representación', 'representación'), ('de', 'de')]","[('reunidos', 0, 'root'), ('en', 4, 'case'), ('la', 4, 'det'), ('sede', 1, 'obl'), ('de', 7, 'case'), ('la', 7, 'det'), ('representación', 4, 'nmod'), ('de', 1, 'punct')]"
M03,24,meronymie,Parties du même genre,medicine,"a una molécula extracelular determinada o , en su otro extremo , unidas en el interior de la célula a un componente específico de el citosqueleto ( v. Rosen y Bertozzi ,",unidas en el interior de la célula a,"['VC--PF', 'P', 'AMS', 'N5-MS', 'P', 'AFS', 'N5-FS', 'P']","['unidas', 'en', 'el', 'interior', 'de', 'la', 'célula', 'a']","['oui', 'oui', 'incertaine', 'oui']",4.0,oui,['Parties du même genre'],1.0,oui,,,context incomplet,moyenne-élevée,"[('unidas', 'ADJ'), ('en', 'ADP'), ('el', 'DET'), ('interior', 'NOUN'), ('de', 'ADP'), ('la', 'DET'), ('célula', 'NOUN'), ('a', 'ADP')]",[],"[('unidas', 'unir'), ('en', 'en'), ('el', 'el'), ('interior', 'interior'), ('de', 'de'), ('la', 'el'), ('célula', 'célula'), ('a', 'a')]","[('unidas', 0, 'root'), ('en', 4, 'case'), ('el', 4, 'det'), ('interior', 1, 'obl'), ('de', 7, 'case'), ('la', 7, 'det'), ('célula', 4, 'nmod'), ('a', 1, 'advmod')]"
